price_per_meter,latitude,longitude
458640.0,55.7298,37.44267
137615.0,55.74953,37.72589
125000.0,55.73538,37.82655
496454.0,55.72275,37.58079
249465.0,55.83749,37.51136
952222.0,55.77062,37.62596
340136.0,55.66754,37.63008
399423.0,55.72529,37.65455
81868.0,55.83205,37.45483
238960.0,55.78936,37.65746
484800.0,55.68906,37.6558
739687.0,55.79954,37.53217
408000.0,55.68906,37.6558
241935.0,55.81151,37.69892
560641.0,55.89466,37.54242
169500.0,55.81,37.57008
476377.0,55.65089,37.62877
56989.0,55.83245,37.45905
412902.0,55.64493,37.38135
360231.0,55.83501,37.65834
469800.0,55.72597,37.652
215634.0,55.68674,37.46684
135599.0,55.81027,37.40225
203915.0,55.8195,37.51446
731452.0,55.78635,37.58644
315000.0,55.7527,37.78163
727483.0,55.76131,37.65629
948454.0,55.7638,37.57206
391209.0,55.81066,37.713
110778.0,55.83601,37.66712
229167.0,55.80935,37.45087
320197.0,55.68106,37.59469
128289.0,55.68254,37.84578
1350000.0,55.77079,37.59549
478927.0,55.73581,37.65939
267341.0,55.65509,37.60724
225000.0,55.79312,37.51148
98468.0,55.65631,37.60333
564199.0,55.66306,37.53748
309680.0,55.84766,37.56133
1150000.0,55.79627,37.59459
302800.0,55.87254,37.5816
714286.0,55.61159,37.54035
190556.0,55.70377,37.64007
262069.0,55.76874,37.67903
193396.0,55.82427,37.41171
283784.0,55.97232,37.16561
210177.0,55.68301,37.63824
59811.0,55.78918,37.8182
429402.0,55.79989,37.6151
328000.0,55.74167,37.41942
224653.0,55.76548,37.59583
390000.0,55.70883,37.62815
383683.0,55.76531,37.63156
221893.0,55.81778,37.80832
282759.0,55.73225,37.66205
846795.0,55.77079,37.59549
234009.0,55.76391,37.5528
432000.0,55.68756,37.65618
884571.0,55.80674,37.63755
603448.0,55.75578,37.63355
200387.0,55.93324,37.38603
1001893.0,55.68674,37.46684
405353.0,55.7894,37.53683
86269.0,55.79308,37.39798
857143.0,55.62167,37.60457
612774.0,55.74934,37.57918
278810.0,55.74168,37.60173
604651.0,55.68778,37.65472
700935.0,55.81542,37.42613
432000.0,55.68906,37.6558
358824.0,55.65798,37.47411
218110.0,55.78572,37.47778
459676.0,55.72602,37.65194
297297.0,55.79826,37.76448
102619.0,55.7478,37.66384
494009.0,55.7501,37.59477
754907.0,55.78564,37.63328
198276.0,55.70878,37.59932
169082.0,55.71882,37.42619
420790.0,55.6897,37.63387
700000.0,55.73834,37.616
196970.0,55.71108,37.6673
165522.0,55.7882,37.61507
360000.0,55.78751,37.70676
129565.0,55.84222,37.57057
160078.0,55.72874,37.56458
500048.0,55.7168,37.65072
406780.0,55.85831,37.48004
450676.0,55.79989,37.6151
485592.0,55.75317,37.59162
993204.0,55.75973,37.60148
261111.0,55.7722,37.61874
420790.0,55.6897,37.63387
698413.0,55.71946,37.60828
341267.0,55.64537,37.37994
165625.0,55.75858,37.80502
385185.0,55.60128,37.58617
131396.0,55.66383,37.74212
106693.0,55.6801,37.58204
102910.0,55.89443,37.63305
143725.0,55.85058,37.68417
98485.0,55.76772,37.56597
257576.0,55.72359,37.52726
242775.0,55.76025,37.54091
214286.0,55.74805,37.51444
102459.0,55.74417,37.7543
198413.0,55.61791,37.70691
113095.0,55.77121,37.67613
148020.0,55.66155,37.52679
256690.0,55.73047,37.5309
452381.0,55.65089,37.71617
210526.0,55.96531,37.1559
657455.0,55.71111,37.61649
286260.0,55.71242,37.92976
301921.0,55.75646,37.56995
100694.0,55.85464,37.47164
136654.0,55.77917,37.68862
180280.0,55.92478,37.54372
198529.0,55.74555,37.56322
990753.0,55.74105,37.57743
192252.0,55.74664,37.56589
275010.0,55.84722,37.5619
540958.0,55.74064,37.53827
398208.0,55.7641,37.60857
191375.0,55.89675,37.58234
300000.0,55.6367,37.75071
268817.0,55.75869,37.75706
355765.0,55.71687,37.66466
320000.0,55.77302,37.58928
141231.0,55.70061,37.63363
132697.0,55.71539,37.79307
1000000.0,55.73955,37.59742
175333.0,55.74498,37.54987
445170.0,55.6897,37.63387
130293.0,55.79714,37.70454
291667.0,55.67038,37.57754
